,종목코드,종목명,시가총액,기업구분,PBR,1/PBR
267,2810,삼영무역,229914000000.0,S,0.53,H
268,339770,교촌에프앤비,229839000000.0,S,1.28,L
269,83420,그린케미칼,229680000000.0,S,1.81,L
270,1790,대한제당,228278000000.0,S,0.48,H
271,77500,유니퀘스트,225687000000.0,S,0.73,H
272,140,하이트진로홀딩스,225570000000.0,S,0.41,H
273,7160,사조산업,225000000000.0,S,0.5,H
274,3120,일성신약,224504000000.0,S,0.37,H
275,1130,대한제분,223925000000.0,S,0.25,H
276,19680,대교,221498000000.0,S,0.43,H
277,136490,선진,221150000000.0,S,0.54,H
278,5720,넥센,219798000000.0,S,0.21,H
279,11760,현대코퍼레이션,214309000000.0,S,0.54,H
280,84680,이월드,214127000000.0,S,0.89,H
281,200880,서연이화,212444000000.0,S,0.32,H
282,8060,대덕,210458000000.0,S,0.37,H
283,430,대원강업,210180000000.0,S,0.45,H
284,11280,태림포장,202859000000.0,S,0.61,H
285,71970,STX중공업,200938000000.0,S,1.3,L
286,2100,경농,197178000000.0,S,0.85,H
287,103590,일진전기,196897000000.0,S,0.61,H
288,23450,동남합성,196384000000.0,S,4.21,L
289,10580,에스엠벡셀,194134000000.0,S,3.53,L
290,1340,백광산업,193598000000.0,S,1.0,L
291,58430,포스코스틸리온,193200000000.0,S,0.6,H
292,101530,해태제과식품,191880000000.0,S,0.68,H
293,35150,백산,191453000000.0,S,1.36,L
294,15890,태경산업,189402000000.0,S,0.7,H
295,15360,예스코홀딩스,189000000000.0,S,0.27,H
296,15860,일진홀딩스,188507000000.0,S,0.42,H
297,31440,신세계푸드,186073000000.0,S,0.65,H
298,2780,진흥기업,185476000000.0,S,1.09,L
299,16450,한세예스24홀딩스,185000000000.0,S,0.38,H
300,14280,금강공업,181549000000.0,S,0.55,H
301,4970,신라교역,180800000000.0,S,0.32,H
302,1360,삼성제약,180330000000.0,S,1.42,L
303,214330,금호에이치티,179330000000.0,S,0.48,H
304,194370,제이에스코퍼레이션,178697000000.0,S,0.84,H
305,79430,현대리바트,176398000000.0,S,0.35,H
306,2210,동성제약,174354000000.0,S,3.33,L
307,128820,대성산업,174157000000.0,S,0.31,H
308,28100,동아지질,170740000000.0,S,0.67,H
309,105840,우진,170312000000.0,S,1.18,L
310,12610,경인양행,170211000000.0,S,0.74,H
311,100250,진양홀딩스,169083000000.0,S,0.51,H
312,79980,휴비스,168533000000.0,S,0.34,H
313,700,유수홀딩스,166668000000.0,S,0.49,H
314,5960,동부건설,166071000000.0,S,0.3,H
315,14160,대영포장,165844000000.0,S,0.94,H
316,4710,한솔테크닉스,163760000000.0,S,0.58,H
317,7860,서연,162715000000.0,S,0.32,H
318,372910,한컴라이프케어,161895000000.0,S,1.39,L
319,248170,샘표식품,158748000000.0,S,0.74,H
320,9270,신원,158496000000.0,S,0.58,H
321,2170,삼양통상,158400000000.0,S,0.37,H
322,10820,퍼스텍,157642000000.0,S,3.62,L
323,11810,STX,157418000000.0,S,2.35,L
324,9410,태영건설,156763000000.0,S,0.23,H
325,4560,현대비앤지스틸,156066000000.0,S,0.32,H
326,11500,한농화성,155901000000.0,S,1.03,L
327,3830,대한화섬,155376000000.0,S,0.18,H
328,90350,노루페인트,154800000000.0,S,0.46,H
329,24090,디씨엠,154470000000.0,S,0.53,H
330,33530,세종공업,152459000000.0,S,0.37,H
331,134380,미원화학,151090000000.0,S,1.17,L
332,267290,경동도시가스,149154000000.0,S,0.4,H
333,19440,세아특수강,146976000000.0,S,0.44,H
334,6490,인스코비,144491000000.0,S,2.14,L
335,17550,수산중공업,143870000000.0,S,1.18,L
336,14580,태경비케이,143432000000.0,S,0.95,H
337,36580,팜스코,143239000000.0,S,0.46,H
338,78520,에이블씨엔씨,141655000000.0,S,1.2,L
339,33920,무학,140648000000.0,S,0.26,H
340,4080,신흥,140600000000.0,S,1.37,L
341,100840,SNT에너지,140000000000.0,S,0.5,H
342,13570,디와이,139494000000.0,S,0.38,H
343,7210,벽산,138491000000.0,S,0.5,H
344,4150,한솔홀딩스,137368000000.0,S,0.26,H
345,7540,샘표,136313000000.0,S,0.55,H
346,210540,디와이파워,135261000000.0,S,0.6,H
347,860,강남제비스코,134875000000.0,S,0.23,H
348,3160,디아이,134284000000.0,S,0.86,H
349,320,노루홀딩스,132513000000.0,S,0.28,H
350,2700,신일전자,132148000000.0,S,1.58,L
351,92200,디아이씨,131054000000.0,S,1.4,L
352,123690,한국화장품,130794000000.0,S,5.95,L
353,63160,종근당바이오,130566000000.0,S,0.81,H
354,3350,한국화장품제조,129389000000.0,S,2.41,L
355,8700,아남전자,128798000000.0,S,1.64,L
356,5430,한국공항,127446000000.0,S,0.42,H
357,8040,사조동아원,127312000000.0,S,0.56,H
358,4140,동방,126885000000.0,S,0.98,H
359,17900,광전자,126607000000.0,S,0.52,H
360,14530,극동유화,126576000000.0,S,0.68,H
361,120030,조선선재,125388000000.0,S,0.8,H
362,6890,태경케미컬,124700000000.0,S,0.87,H
363,500,가온전선,123999000000.0,S,0.33,H
364,34590,인천도시가스,122056000000.0,S,0.6,H
365,2600,조흥,121500000000.0,S,0.83,H
366,91090,세원이앤씨,120474000000.0,S,0.48,H
367,32560,황금에스티,118490000000.0,S,0.4,H
368,7280,한국특강,117847000000.0,S,0.73,H
369,520,삼일제약,117670000000.0,S,1.63,L
370,2450,삼익악기,116332000000.0,S,0.42,H
371,13360,일성건설,115613000000.0,S,1.06,L
372,10040,한국내화,115604000000.0,S,0.39,H
373,3480,한진중공업홀딩스,115019000000.0,S,0.32,H
374,8970,동양철관,112109000000.0,S,1.33,L
375,2720,국제약품,111073000000.0,S,1.54,L
376,12800,대창,109824000000.0,S,0.38,H
377,220,유유제약,107185000000.0,S,0.96,H
378,23800,인지컨트롤스,107179000000.0,S,0.55,H
379,23000,삼원강재,106800000000.0,S,0.49,H
380,14990,인디에프,106777000000.0,S,2.81,L
381,2460,화성산업,106575000000.0,S,0.31,H
382,264900,크라운제과,106453000000.0,S,0.68,H
383,6370,대구백화점,106268000000.0,S,0.32,H
384,4720,팜젠사이언스,105750000000.0,S,0.8,H
385,214420,토니모리,105721000000.0,S,1.15,L
386,25820,이구산업,104673000000.0,S,0.85,H
387,4540,깨끗한나라,104274000000.0,S,0.46,H
388,12690,모나리자,104228000000.0,S,1.38,L
389,9190,대양금속,103970000000.0,S,1.44,L
390,12200,계양전기,103342000000.0,S,0.59,H
391,47400,유니온머티리얼,103320000000.0,S,1.23,L
392,9200,무림페이퍼,101943000000.0,S,0.26,H
393,5740,크라운해태홀딩스,100813000000.0,S,0.36,H
394,5800,신영와코루,100350000000.0,S,0.31,H
395,4960,한신공영,98235259980.0,S,0.15,H
396,17180,명문제약,97446412980.0,S,1.21,L
397,75180,새론오토모티브,97152000000.0,S,0.41,H
398,16090,대현,96978258900.0,S,0.44,H
399,2760,보락,96439000000.0,S,2.12,L
400,4910,조광페인트,96256000000.0,S,0.44,H
401,13700,까뮤이앤씨,96174356400.0,S,0.96,H
402,24890,대원화성,95904278400.0,S,1.33,L
403,10960,삼호개발,95500000000.0,S,0.39,H
404,16880,웅진,94713589800.0,S,1.56,L
405,11690,와이투솔루션,94585968378.0,S,1.08,L
406,227840,현대코퍼레이션홀딩스,94193652600.0,S,0.46,H
407,2360,SH에너지화학,91240792330.0,S,0.98,H
408,93230,이아이디,90981746740.0,S,0.32,H
409,300,대유플러스,90749080500.0,S,0.88,H
410,9470,삼화전기,90609334000.0,S,1.39,L
411,4770,써니전자,90422803545.0,S,1.33,L
412,17040,광명전기,90358927275.0,S,0.84,H
413,69640,한세엠케이,89265778430.0,S,0.69,H
414,446070,유니드비티플러스,89134206000.0,S,0.0,H
415,11330,유니켐,88599477915.0,S,0.8,H
416,58730,다스코,88256081550.0,S,0.61,H
417,2140,고려산업,86539804750.0,S,0.8,H
418,650,천일고속,86467810000.0,S,2.4,L
419,1260,남광토건,86298742920.0,S,0.98,H
420,163560,동일고무벨트,86180000000.0,S,0.42,H
421,7590,동방아그로,85926910870.0,S,0.53,H
422,890,보해양조,85837119593.0,S,1.01,L
423,44820,코스맥스비티아이,85186779270.0,S,0.28,H
424,78000,텔코웨어,84898677500.0,S,0.45,H
425,13870,지엠비코리아,84871646000.0,S,0.35,H
426,9810,플레이그램,84412521600.0,S,1.39,L
427,2410,범양건영,83932099160.0,S,0.98,H
428,7980,태평양물산,83410861765.0,S,0.48,H
429,129260,인터지스,83294047200.0,S,0.39,H
430,102280,쌍방울,83241704893.0,S,0.36,H
431,25750,한솔홈데코,82579277725.0,S,0.52,H
432,2880,대유에이텍,82007542008.0,S,0.86,H
433,3780,진양산업,81120000000.0,S,1.71,L
434,16740,두올,80848032600.0,S,0.41,H
435,9460,한창제지,79656093810.0,S,0.73,H
436,1550,조비,79441256700.0,S,1.49,L
437,4450,삼화왕관,79388866150.0,S,0.47,H
438,6660,삼성공조,79231561500.0,S,0.36,H
439,6340,대원전선,79160987400.0,S,0.92,H
440,111110,호전실업,79072370240.0,S,0.6,H
441,7110,일신석재,79005742200.0,S,1.51,L
442,134790,시디즈,78500000000.0,S,1.07,L
443,4830,덕성,78400000000.0,S,0.95,H
444,6380,카프로,78400000000.0,S,0.62,H
445,8250,이건산업,78201813900.0,S,0.4,H
446,24900,덕양산업,77993127100.0,S,1.4,L
447,14710,사조씨푸드,77913907075.0,S,0.34,H
448,9180,한솔로지스틱스,77486338500.0,S,0.99,H
449,3010,혜인,76912119350.0,S,0.58,H
450,11390,부산산업,76560000000.0,S,1.38,L
451,100220,비상교육,76030934850.0,S,0.36,H
452,27740,마니커,75895917460.0,S,1.6,L
453,1140,국보,75639265520.0,S,1.53,L
454,6090,사조오양,75287684610.0,S,0.38,H
455,2220,한일철강,75153349900.0,S,0.39,H
456,950,전방,74676000000.0,S,0.35,H
457,31820,콤텍시스템,73478239862.0,S,0.52,H
458,23350,한국종합기술,73474500000.0,S,0.49,H
459,910,유니온,73452667395.0,S,0.56,H
460,5110,한창,72805827556.0,S,2.11,L
461,143210,핸즈코퍼레이션,72258100740.0,S,0.29,H
462,12160,영흥,71829053748.0,S,0.3,H
463,4440,삼일씨엔에스,71298903200.0,S,0.26,H
464,6880,신송홀딩스,70854859420.0,S,0.69,H
465,10600,웰바이오텍,70750190760.0,S,1.91,L
466,49800,우진플라임,70600000000.0,S,0.86,H
467,12170,아센디오,70125796412.0,S,1.47,L
468,13520,화승코퍼레이션,70071752800.0,S,0.43,H
469,4270,남성,69889468800.0,S,0.51,H
470,85310,엔케이,69585516240.0,S,0.67,H
471,2920,유성기업,69409562500.0,S,0.25,H
472,10660,화천기계,69300000000.0,S,0.5,H
473,14440,영보화학,68400000000.0,S,0.43,H
474,378850,화승알앤에이,68282074685.0,S,1.13,L
475,69460,대호에이엘,67604574700.0,S,0.95,H
476,850,화천기공,67430000000.0,S,0.22,H
477,71090,하이스틸,66631854300.0,S,0.48,H
478,23810,인팩,66600000000.0,S,0.66,H
479,590,CS홀딩스,66498163200.0,S,0.25,H
480,6980,우성,66435000000.0,S,0.32,H
481,34300,신세계건설,66200000000.0,S,0.29,H
482,8420,문배철강,66021286100.0,S,0.44,H
483,3080,성보화학,65565500000.0,S,0.47,H
484,15260,에이엔피,65335656330.0,S,1.2,L
485,41650,상신브레이크,64951136250.0,S,0.32,H
486,90080,평화산업,64510154325.0,S,2.48,L
487,26940,부국철강,64100000000.0,S,0.53,H
488,9770,삼정펄프,63749260500.0,S,0.29,H
489,92780,동양피스톤,63142765700.0,S,0.57,H
490,14130,한익스프레스,63120000000.0,S,0.88,H
491,19180,티에이치엔,62910000000.0,S,0.72,H
492,133820,화인베스틸,62244256690.0,S,0.78,H
493,1620,케이비아이동국실업,61166539760.0,S,0.32,H
494,90370,메타랩스,60891964605.0,S,0.69,H
495,5320,국동,60328643060.0,S,0.57,H
496,5360,모나미,59998949725.0,S,0.59,H
497,17370,우신시스템,58604972800.0,S,0.6,H
498,4870,티웨이홀딩스,57472887675.0,S,1.07,L
499,51630,진양화학,56801000000.0,S,1.84,L
500,23150,MH에탄올,56150582860.0,S,0.79,H
501,21050,서원,55782643250.0,S,0.42,H
502,10770,평화홀딩스,54845497500.0,S,0.59,H
503,6570,대림통상,54353250000.0,S,0.71,H
504,7610,선도전기,54000000000.0,S,0.68,H
505,101140,인바이오젠,52414564400.0,S,0.3,H
506,1020,페이퍼코리아,52085656950.0,S,0.99,H
507,11300,성안,50603495400.0,S,1.4,L
508,145210,다이나믹디자인,50048376680.0,S,0.45,H
509,23960,에쓰씨엔지니어링,49842721225.0,S,1.59,L
510,25560,미래산업,48304275950.0,S,0.57,H
511,5820,원림,47223283500.0,S,0.4,H
512,13000,세우글로벌,47076250840.0,S,1.05,L
513,5030,부산주공,46893339284.0,S,1.83,L
514,11420,갤럭시아에스엠,46834394800.0,S,1.42,L
515,6200,한국전자홀딩스,46803136000.0,S,0.34,H
516,8600,윌비스,46325630871.0,S,0.4,H
517,11090,에넥스,46073580288.0,S,0.69,H
518,760,이화산업,44100000000.0,S,0.3,H
519,12280,영화금속,42502025980.0,S,0.69,H
520,2690,동일제강,42021745200.0,S,0.27,H
521,9310,참엔지니어링,41795867490.0,S,0.51,H
522,30720,동원수산,40395027400.0,S,0.71,H
523,2870,신풍,40202505000.0,S,0.36,H
524,84670,동양고속,40103630650.0,S,0.43,H
525,2420,세기상사,40069130360.0,S,1.74,L
526,72130,유엔젤,39718316540.0,S,0.69,H
527,7120,미래아이앤지,39037018720.0,S,0.51,H
528,10400,우진아이엔에스,38948420000.0,S,0.35,H
529,4920,씨아이테크,38202415188.0,S,0.73,H
530,9140,경인전자,38013287400.0,S,0.53,H
531,2070,비비안,37838367300.0,S,0.37,H
532,15020,이스타코,35138312000.0,S,0.63,H
533,88790,진도,32799805440.0,S,0.33,H
534,3680,한성기업,31916907100.0,S,0.65,H
535,14910,성문전자,30204628350.0,S,0.96,H
536,1420,태원물산,29602000000.0,S,0.91,H
537,25890,한국주강,28951703040.0,S,1.02,L
538,1210,금호전기,25349855720.0,S,0.6,H
539,25620,제이준코스메틱,23210302140.0,S,0.38,H
540,71950,코아스,22562263300.0,S,1.2,L
541,8500,일정실업,19680000000.0,S,1.04,L
542,30790,비케이탑스,19208323080.0,S,2.71,L
